date, price
2000/11/13,26.8881
2000/11/14,27.8741
2000/11/15,27.0819
2000/11/16,26.2953
2000/11/17,26.2953
2000/11/18,27.8741
2000/11/20,26.2953
2000/11/21,25.503201
2000/11/22,24.9105
2000/11/23,24.118401
2000/11/24,24.118401
2000/11/27,24.118401
2000/11/28,24.9105
2000/11/29,25.303801
2000/11/30,24.9105
2000/12/1,24.118401
2000/12/2,22.5397
2000/12/4,21.947001
2000/12/5,21.3487
2000/12/6,20.756001
2000/12/7,20.1633
2000/12/8,20.1633
2000/12/11,19.493
2000/12/12,18.8228
2000/12/13,18.623301
2000/12/14,17.9918
2000/12/15,17.9918
2000/12/16,17.8312
2000/12/18,18.423901
2000/12/19,19.6924
2000/12/20,20.9554
2000/12/21,22.1408
2000/12/22,23.5257
2000/12/26,24.317801
2000/12/27,22.932899
2000/12/28,23.5257
2000/12/29,22.5397
2000/12/30,23.919001
2001/1/2,25.503201
2001/1/3,27.2813
2001/1/4,27.2813
2001/1/5,27.2813
2001/1/8,27.2813
2001/1/9,27.2813
2001/1/10,27.2813
2001/1/11,27.2813
2001/1/12,25.503201
2001/1/15,27.2813
2001/1/16,27.480801
2001/1/17,28.865601
2001/1/18,30.2449
2001/1/29,28.466801
2001/1/30,27.680201
2001/1/31,26.0959
2001/2/1,27.680201
2001/2/2,27.2813
2001/2/5,28.666201
2001/2/6,30.4443
2001/2/7,29.2589
2001/2/8,31.2365
2001/2/9,31.4359
2001/2/12,31.4359
2001/2/13,30.051001
2001/2/14,29.0595
2001/2/15,27.2813
2001/2/16,27.480801
2001/2/19,26.688601
2001/2/20,26.688601
2001/2/21,26.688601
2001/2/22,24.9105
2001/2/23,25.503201
2001/2/26,27.0819
2001/2/27,26.0959
2001/3/1,27.8741
2001/3/2,27.0819
2001/3/5,27.2813
2001/3/6,26.688601
2001/3/7,26.489201
2001/3/8,26.489201
2001/3/9,27.2813
2001/3/12,28.2729
2001/3/13,26.688601
2001/3/14,26.489201
2001/3/15,26.0959
2001/3/16,27.0819
2001/3/19,28.0735
2001/3/20,28.466801
2001/3/21,27.8741
2001/3/22,28.466801
2001/3/23,29.0595
2001/3/26,28.0735
2001/3/27,26.489201
2001/3/28,25.503201
2001/3/29,25.8965
2001/3/30,25.8965
2001/4/2,26.2953
2001/4/3,26.489201
2001/4/4,25.1099
2001/4/6,25.1099
2001/4/9,25.8965
2001/4/10,26.2953
2001/4/11,24.9105
2001/4/12,25.503201
2001/4/13,26.2953
2001/4/16,26.688601
2001/4/17,27.0819
2001/4/18,26.688601
2001/4/19,26.8881
2001/4/20,25.7026
2001/4/23,25.7026
2001/4/24,24.9105
2001/4/25,24.118401
2001/4/26,24.118401
2001/4/27,24.118401
2001/4/30,24.9105
2001/5/2,23.3263
2001/5/3,21.747499
2001/5/4,20.3627
2001/5/7,20.1633
2001/5/8,19.099701
2001/5/9,20.3627
2001/5/10,20.1633
2001/5/11,19.9694
2001/5/14,19.216
2001/5/15,19.9694
2001/5/16,19.9694
2001/5/17,18.7784
2001/5/18,18.6621
2001/5/21,19.9694
2001/5/22,21.3487
2001/5/23,21.5481
2001/5/24,20.562099
2001/5/25,19.9694
2001/5/28,20.562099
2001/5/29,20.1633
2001/5/30,19.77
2001/5/31,19.609301
2001/6/1,20.562099
2001/6/4,21.947001
2001/6/5,21.947001
2001/6/6,21.747499
2001/6/7,21.947001
2001/6/8,22.3402
2001/6/11,22.3402
2001/6/12,21.747499
2001/6/13,21.747499
2001/6/14,21.3487
2001/6/15,20.9554
2001/6/18,21.1548
2001/6/19,19.9694
2001/6/20,19.099701
2001/6/21,19.099701
2001/6/22,18.9391
2001/6/26,19.0263
2001/6/27,19.0263
2001/6/28,19.738001
2001/6/29,19.5007
2001/7/2,18.789
2001/7/3,18.5518
2001/7/4,18.8839
2001/7/5,19.927799
2001/7/6,19.4533
2001/7/9,19.2635
2001/7/10,19.311001
2001/7/11,20.6395
2001/7/12,19.5956
2001/7/13,19.548201
2001/7/16,19.738001
2001/7/17,19.311001
2001/7/18,20.022699
2001/7/19,19.4533
2001/7/20,18.1248
2001/7/23,16.938601
2001/7/24,17.745199
2001/7/25,18.5044
2001/7/26,18.2197
2001/7/27,18.25
2001/7/31,18.267099
2001/8/1,18.4569
2001/8/2,19.690599
2001/8/3,19.738001
2001/8/6,19.216101
2001/8/7,19.643101
2001/8/8,19.690599
2001/8/9,19.548201
2001/8/10,19.311001
2001/8/13,19.1686
2001/8/14,19.5007
2001/8/15,19.7854
2001/8/16,19.738001
2001/8/17,19.7854
2001/8/20,19.0737
2001/8/21,20.4023
2001/8/22,19.880301
2001/8/23,19.0737
2001/8/24,17.840099
2001/8/27,18.3146
2001/8/28,17.6029
2001/8/29,18.0299
2001/8/30,17.650299
2001/8/31,17.460501
2001/9/3,17.080999
2001/9/4,17.650299
2001/9/5,17.128401
2001/9/6,16.0846
2001/9/7,15.5626
2001/9/10,15.0882
2001/9/11,14.0443
2001/9/13,14
2001/9/14,13.0954
2001/9/19,12.1939
2001/9/20,12
2001/9/21,11.9
2001/9/24,11.8
2001/9/25,11.5296
2001/9/26,11.1501
2001/9/27,11.1
2001/9/28,10.9128
2001/10/2,11.672
2001/10/3,11.7669
2001/10/4,11.7
2001/10/5,11.3
2001/10/8,11.1501
2001/10/9,10.3909
2001/10/11,10.296
2001/10/12,10.8654
2001/10/15,10.2486
2001/10/16,10.9603
2001/10/17,11
2001/10/18,11.7194
2001/10/19,11.7194
2001/10/22,11.7194
2001/10/23,12.0516
2001/10/24,12.2414
2001/10/25,12.1464
2001/10/26,12.4311
2001/10/29,13.0005
2001/10/30,12.6209
2001/10/31,12.7158
2001/11/1,12.6684
2001/11/2,12.7158
2001/11/5,12.6684
2001/11/6,11.9093
2001/11/7,12.4311
2001/11/8,12.4786
2001/11/9,13.3326
2001/11/12,13.902
2001/11/13,13.3801
2001/11/14,13.4275
2001/11/15,13.2852
2001/11/16,13.5
2001/11/19,13.8071
2001/11/20,14.7561
2001/11/21,15.0407
2001/11/22,15.278
2001/11/23,15.278
2001/11/26,15.8948
2001/11/27,14.9458
2001/11/28,15.9897
2001/11/29,16.3218
2001/11/30,16.3218
2001/12/3,16.796301
2001/12/4,16.5116
2001/12/5,15.705
2001/12/6,15.6576
2001/12/7,15.6576
2001/12/10,16.7488
2001/12/11,16.986099
2001/12/12,17.413099
2001/12/13,18.5993
2001/12/14,19.738001
2001/12/17,19.0737
2001/12/18,18.7416
2001/12/19,19.975201
2001/12/20,19.5956
2001/12/21,19.832899
2001/12/24,21.2089
2001/12/25,20
2001/12/26,19.832899
